"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"PROD_ID";"SF_SKU";"SPICEPREFIX";
"R56";"";"R-TRIMM";"RTRIMCA6";"Trimm resistor";"";"";"";"";"";"";"";"";
"R57";"15R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R58";"1R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R59";"1k8R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R60";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"70";"";"";"R";
"R61";"18k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R62";"18k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"70";"";"";"R";
"R63";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R64";"1R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R65";"3k3R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R66";"3k3R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R67";"1R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R68";"10k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"0";"";"";"R";
"R69";"10k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"0";"";"";"R";
"R70";"15R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R71";"15R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R72";"180R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R73";"27k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"0";"";"";"R";
"R74";"470k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"0";"";"";"R";
"R75";"10k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"0";"";"";"R";
"R76";"3k9R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R77";"15k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"0";"";"";"R";
"R78";"1R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R79";"39k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R80";"39kR";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R81";"39kR";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R82";"";"R-TRIMM";"RTRIMCA6";"Trimm resistor";"";"";"";"";"";"";"";"";
"R83";"1R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R85";"10R";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"41";"";"";"R";
"R86";"2R";"R-EU_R2012";"R2012";"RESISTOR, European symbol";"";"";"";"";"0";"";"";"R";
"R87";"18k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"0";"";"";"R";
"R88";"180k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"0";"";"";"R";
"R106";"18k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R120";"83mR";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R121";"83mR";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R122";"16m7R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"S1";"MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM";"MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM";"TACTILE_SWITCH_SMD_6.0X3.5MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"SWCH-00815";"COM-08229";"";
"SOLAR+";"SMDPAD";"SMDPAD";"SMDPAD";"SMD Solder Pad -- mainly intended for connecting thicker wires for batteries and motors.";"";"";"";"";"";"";"";"";
"SOLAR-";"SMDPAD";"SMDPAD";"SMDPAD";"SMD Solder Pad -- mainly intended for connecting thicker wires for batteries and motors.";"";"";"";"";"";"";"";"";
"T1";"";"SI7157DP";"SI7157DP";"Vishay Siliconix - Si157DP -- P-Channel 20V (D-S) MOSFET";"";"";"";"";"";"";"";"J";
"T2";"";"SI7157DP";"SI7157DP";"Vishay Siliconix - Si157DP -- P-Channel 20V (D-S) MOSFET";"";"";"";"";"";"";"";"";
"T15";"";"SI7157DP";"SI7157DP";"Vishay Siliconix - Si157DP -- P-Channel 20V (D-S) MOSFET";"";"";"";"";"";"";"";"";
"T16";"";"SI7157DP";"SI7157DP";"Vishay Siliconix - Si157DP -- P-Channel 20V (D-S) MOSFET";"";"";"";"";"";"";"";"";
"T17";"";"SI7157DP";"SI7157DP";"Vishay Siliconix - Si157DP -- P-Channel 20V (D-S) MOSFET";"";"";"";"";"";"";"";"";
"T18";"";"SI7157DP";"SI7157DP";"Vishay Siliconix - Si157DP -- P-Channel 20V (D-S) MOSFET";"";"";"";"";"";"";"";"";
"T19";"";"SI7157DP";"SI7157DP";"Vishay Siliconix - Si157DP -- P-Channel 20V (D-S) MOSFET";"";"";"";"";"";"";"";"";
"T20";"";"SI7157DP";"SI7157DP";"Vishay Siliconix - Si157DP -- P-Channel 20V (D-S) MOSFET";"";"";"";"";"";"";"";"";
"T21";"";"SI7157DP";"SI7157DP";"Vishay Siliconix - Si157DP -- P-Channel 20V (D-S) MOSFET";"";"";"";"";"";"";"";"";
"T22";"";"SI7157DP";"SI7157DP";"Vishay Siliconix - Si157DP -- P-Channel 20V (D-S) MOSFET";"";"";"";"";"";"";"";"";
"T23";"";"SI7157DP";"SI7157DP";"Vishay Siliconix - Si157DP -- P-Channel 20V (D-S) MOSFET";"";"";"";"";"";"";"";"";
"T24";"";"SI7157DP";"SI7157DP";"Vishay Siliconix - Si157DP -- P-Channel 20V (D-S) MOSFET";"";"";"";"";"";"";"";"";
"U$1";"TSR-1-XXXX";"TSR-1-XXXX";"TSR-1-XXXX";"Non-Isolated DC/DC Converter (POL) by Traco Power - TSR 1-2433";"";"";"";"";"";"";"";"";
"U$2";"NXP_BC847";"NXP_BC847";"NXP_BC847";"NXP -- BC847 -- NPN General Purpose Transistors";"";"";"";"";"";"";"";"";
"U$3";"NXP_BC857";"NXP_BC857";"NXP_BC857";"NXP - BC856; BC857; BC858 -- PNP General Purpose Transistors";"";"";"";"";"";"";"";"";
"U$4";"REF31XX-Q1";"REF31XX-Q1";"REF31XX-Q1";"Texas Instruments REF31xx-Q1 15ppm/°C Maximum, 100-mikroA, SOT-23 Series Voltage Reference";"";"";"";"";"";"";"";"";
"U$5";"REF31XX-Q1";"REF31XX-Q1";"REF31XX-Q1";"Texas Instruments REF31xx-Q1 15ppm/°C Maximum, 100-mikroA, SOT-23 Series Voltage Reference";"";"";"";"";"";"";"";"";
"U$6";"REF31XX-Q1";"REF31XX-Q1";"REF31XX-Q1";"Texas Instruments REF31xx-Q1 15ppm/°C Maximum, 100-mikroA, SOT-23 Series Voltage Reference";"";"";"";"";"";"";"";"";
"U$7";"NXP_BC857";"NXP_BC857";"NXP_BC857";"NXP - BC856; BC857; BC858 -- PNP General Purpose Transistors";"";"";"";"";"";"";"";"";
"U$8";"REF31XX-Q1";"REF31XX-Q1";"REF31XX-Q1";"Texas Instruments REF31xx-Q1 15ppm/°C Maximum, 100-mikroA, SOT-23 Series Voltage Reference";"";"";"";"";"";"";"";"";
"U$9";"NXP_BC857";"NXP_BC857";"NXP_BC857";"NXP - BC856; BC857; BC858 -- PNP General Purpose Transistors";"";"";"";"";"";"";"";"";
"U$10";"MCP33131-05";"MCP33131-05";"MCP33131-05";"Microchip -- MCP33131/21/11-XX --  1Msps/500kSPS 16/14/12-Bit Single-Ended Input SAR ADC";"";"";"";"";"";"";"";"";
"U$11";"DLP11SN900HL2";"DLP11SN900HL2";"DLP11SN900HL2";"Murata (R) Chip Common Mode Choke Coil DLP11SNxxxxL2x-Series";"";"";"";"";"";"";"";"";
"U$12";"BLM21PG221SN1";"BLM21PG221SN1";"BLM21PG221SN1";"Murata (R) Chip Ferrite Bead -- BLM21xxxxxxSNx-Series";"";"";"";"";"";"";"";"";
"U$13";"BLM21PG221SN1";"BLM21PG221SN1";"BLM21PG221SN1";"Murata (R) Chip Ferrite Bead -- BLM21xxxxxxSNx-Series";"";"";"";"";"";"";"";"";
"U$14";"DUP2201MR6";"DUP2201MR6";"NUP2201MR6";"ON Semiconductor (R) -- ESD Protection Diode -- Low Clamping Voltage";"";"";"";"";"";"";"";"";
"U$15";"BLM21PG221SN1";"BLM21PG221SN1";"BLM21PG221SN1";"Murata (R) Chip Ferrite Bead -- BLM21xxxxxxSNx-Series";"";"";"";"";"";"";"";"";
"U$16";"MCP33131-05";"MCP33131-05";"MCP33131-05";"Microchip -- MCP33131/21/11-XX --  1Msps/500kSPS 16/14/12-Bit Single-Ended Input SAR ADC";"";"";"";"";"";"";"";"";
"U$17";"MCP33131-05";"MCP33131-05";"MCP33131-05";"Microchip -- MCP33131/21/11-XX --  1Msps/500kSPS 16/14/12-Bit Single-Ended Input SAR ADC";"";"";"";"";"";"";"";"";
"U$18";"REF31XX-Q1";"REF31XX-Q1";"REF31XX-Q1";"Texas Instruments REF31xx-Q1 15ppm/°C Maximum, 100-mikroA, SOT-23 Series Voltage Reference";"";"";"";"";"";"";"";"";
"U$19";"REF31XX-Q1";"REF31XX-Q1";"REF31XX-Q1";"Texas Instruments REF31xx-Q1 15ppm/°C Maximum, 100-mikroA, SOT-23 Series Voltage Reference";"";"";"";"";"";"";"";"";
"U$20";"MCP33131-05";"MCP33131-05";"MCP33131-05";"Microchip -- MCP33131/21/11-XX --  1Msps/500kSPS 16/14/12-Bit Single-Ended Input SAR ADC";"";"";"";"";"";"";"";"";
"U$21";"MCP33131-05";"MCP33131-05";"MCP33131-05";"Microchip -- MCP33131/21/11-XX --  1Msps/500kSPS 16/14/12-Bit Single-Ended Input SAR ADC";"";"";"";"";"";"";"";"";
"U$22";"REF31XX-Q1";"REF31XX-Q1";"REF31XX-Q1";"Texas Instruments REF31xx-Q1 15ppm/°C Maximum, 100-mikroA, SOT-23 Series Voltage Reference";"";"";"";"";"";"";"";"";
"U$23";"REF31XX-Q1";"REF31XX-Q1";"REF31XX-Q1";"Texas Instruments REF31xx-Q1 15ppm/°C Maximum, 100-mikroA, SOT-23 Series Voltage Reference";"";"";"";"";"";"";"";"";
"U$24";"MCP33131-05";"MCP33131-05";"MCP33131-05";"Microchip -- MCP33131/21/11-XX --  1Msps/500kSPS 16/14/12-Bit Single-Ended Input SAR ADC";"";"";"";"";"";"";"";"";
"U$25";"MCP33131-05";"MCP33131-05";"MCP33131-05";"Microchip -- MCP33131/21/11-XX --  1Msps/500kSPS 16/14/12-Bit Single-Ended Input SAR ADC";"";"";"";"";"";"";"";"";
"U$26";"MCP33131-05";"MCP33131-05";"MCP33131-05";"Microchip -- MCP33131/21/11-XX --  1Msps/500kSPS 16/14/12-Bit Single-Ended Input SAR ADC";"";"";"";"";"";"";"";"";
"U$27";"INA138";"INA138";"INA138";"Texas Instruments -- INA1x8 High-Side Measurement Current Shunt Monitor";"";"";"";"";"";"";"";"";
"U$28";"INA138";"INA138";"INA138";"Texas Instruments -- INA1x8 High-Side Measurement Current Shunt Monitor";"";"";"";"";"";"";"";"";
"U$29";"INA138";"INA138";"INA138";"Texas Instruments -- INA1x8 High-Side Measurement Current Shunt Monitor";"";"";"";"";"";"";"";"";
"U$30";"NXP_BC857";"NXP_BC857";"NXP_BC857";"NXP - BC856; BC857; BC858 -- PNP General Purpose Transistors";"";"";"";"";"";"";"";"";
"U$31";"NXP_BC857";"NXP_BC857";"NXP_BC857";"NXP - BC856; BC857; BC858 -- PNP General Purpose Transistors";"";"";"";"";"";"";"";"";
"U$32";"NXP_BC857";"NXP_BC857";"NXP_BC857";"NXP - BC856; BC857; BC858 -- PNP General Purpose Transistors";"";"";"";"";"";"";"";"";
"U$33";"NXP_BC857";"NXP_BC857";"NXP_BC857";"NXP - BC856; BC857; BC858 -- PNP General Purpose Transistors";"";"";"";"";"";"";"";"";
"U$34";"NXP_BC847";"NXP_BC847";"NXP_BC847";"NXP -- BC847 -- NPN General Purpose Transistors";"";"";"";"";"";"";"";"";
"U$35";"NXP_BC847";"NXP_BC847";"NXP_BC847";"NXP -- BC847 -- NPN General Purpose Transistors";"";"";"";"";"";"";"";"";
"U$36";"BQ24650";"BQ24650";"BQ24650";"Texas Instruments -- bq24650";"";"";"";"";"";"";"";"";
"U$37";"NXP_BC847";"NXP_BC847";"NXP_BC847";"NXP -- BC847 -- NPN General Purpose Transistors";"";"";"";"";"";"";"";"";
"U$38";"NXP_BC847";"NXP_BC847";"NXP_BC847";"NXP -- BC847 -- NPN General Purpose Transistors";"";"";"";"";"";"";"";"";
"U$39";"NXP_BC847";"NXP_BC847";"NXP_BC847";"NXP -- BC847 -- NPN General Purpose Transistors";"";"";"";"";"";"";"";"";
"U$40";"NXP_BC847";"NXP_BC847";"NXP_BC847";"NXP -- BC847 -- NPN General Purpose Transistors";"";"";"";"";"";"";"";"";
"U$41";"NXP_BC847";"NXP_BC847";"NXP_BC847";"NXP -- BC847 -- NPN General Purpose Transistors";"";"";"";"";"";"";"";"";
"U$42";"SIR404DP";"SIR404DP";"SIR404DP";"Vishay Siliconix SiR404DP -- N-Channel 20V (D-S) MOSFET";"";"";"";"";"";"";"";"";
"U$43";"NXP_BC857";"NXP_BC857";"NXP_BC857";"NXP - BC856; BC857; BC858 -- PNP General Purpose Transistors";"";"";"";"";"";"";"";"";
"U$44";"NXP_BC847";"NXP_BC847";"NXP_BC847";"NXP -- BC847 -- NPN General Purpose Transistors";"";"";"";"";"";"";"";"";
"U$45";"4.7uH";"IHLP-2525CZ-01";"IHLP-2525CZ-01";"Vishay Dale -- IHLP-2525CZ-01";"";"";"";"";"";"";"";"B";
"U$46";"2N7002";"2N7002";"2N7002";"2N7002E -- Vishay Siliconix";"";"";"";"";"";"";"";"";
"U$47";"SIR404DP";"SIR404DP";"SIR404DP";"Vishay Siliconix SiR404DP -- N-Channel 20V (D-S) MOSFET";"";"";"";"";"";"";"";"";
"U$48";"BAT54C";"BAT54C";"BAT54C";"Diode, Dual Schottky, 30-V, 200-mA, SOT-23, Fairchild, BAT54C";"";"";"";"";"";"";"";"";
"U$49";"PDS1040";"PDS1040";"PDS1040";"Diode, Schottky Rectifier, 40-V, 10-A, PDS1040";"";"";"";"";"";"";"";"";
"V_LOAD-";"SMDPAD";"SMDPAD";"SMDPAD";"SMD Solder Pad -- mainly intended for connecting thicker wires for batteries and motors.";"";"";"";"";"";"";"";"";
"X1";"SMA-142-0701-801/806";"SMA-142-0701-801/806";"J502-ND-142-0701-801/806";"SMA 50 Ohm End Launch Jack Receptacle - Round Contact";"JOHNSON COMPONENTS";"142-0701-801";"1608592";"90F2624";"5";"";"";"";
"X2";"PN61729-S";"PN61729-S";"PN61729-S";"BERG USB connector";"";"";"unknown";"unknown";"11";"";"";"";
